Id,Label
Frank Darabont,Frank Darabont
Francis Ford Coppola,Francis Ford Coppola
Christopher Nolan,Christopher Nolan
Sidney Lumet,Sidney Lumet
Steven Spielberg,Steven Spielberg
Peter Jackson,Peter Jackson
Quentin Tarantino,Quentin Tarantino
Sergio Leone,Sergio Leone
David Fincher,David Fincher
Robert Zemeckis,Robert Zemeckis
Irvin Kershner,Irvin Kershner
Lana Wachowski-Lilly Wachowski,Lana Wachowski-Lilly Wachowski
Martin Scorsese,Martin Scorsese
Milos Forman,Milos Forman
Akira Kurosawa,Akira Kurosawa
Jonathan Demme,Jonathan Demme
Fernando Meirelles-Kátia Lund,Fernando Meirelles-Kátia Lund
Roberto Benigni,Roberto Benigni
Frank Capra,Frank Capra
George Lucas,George Lucas
Hayao Miyazaki,Hayao Miyazaki
Bong Joon Ho,Bong Joon Ho
Luc Besson,Luc Besson
Masaki Kobayashi,Masaki Kobayashi
Roman Polanski,Roman Polanski
James Cameron,James Cameron
Bryan Singer,Bryan Singer
Alfred Hitchcock,Alfred Hitchcock
Roger Allers-Rob Minkoff,Roger Allers-Rob Minkoff
Charles Chaplin,Charles Chaplin
Tony Kaye,Tony Kaye
Isao Takahata,Isao Takahata
Damien Chazelle,Damien Chazelle
Ridley Scott,Ridley Scott
Olivier Nakache-Éric Toledano,Olivier Nakache-Éric Toledano
Michael Curtiz,Michael Curtiz
